(1,1.3017480801236265)
(2,0.8483007150485101)
(3,0.7047363026864915)
(4,0.6383803870095296)
(5,0.5967050994477738)
(6,0.5635090067471998)
(7,0.5309906499420922)
(8,0.49384061900520443)
(9,0.45161122176092067)
(10,0.4091423801580005)
(11,0.3688091919544395)
(12,0.3312619891813657)
(13,0.2866417617009914)
(14,0.2700166102070547)
(15,0.2485036385469378)
(16,0.23241393092915488)
(17,0.22338723043461745)
(18,0.20257681574292125)
(19,0.1825683575823006)
(20,0.1665852115073053)
(21,0.1571389023858028)
(22,0.14230319375482187)
(23,0.13520188398114902)
(24,0.12838326864133576)
(25,0.12090792229640573)
(26,0.11090389340998598)
(27,0.10591285960501397)
(28,0.10156683367046404)
(29,0.09929395415643505)
(30,0.09794492660388272)
(31,0.09553939328760212)
(32,0.09280014279926374)
(33,0.09034818535079857)
(34,0.08892488977868435)
(35,0.08797985293234724)
(36,0.08679728116142904)
(37,0.08559626155820607)
(38,0.08492224916740253)
(39,0.08404096429825687)
(40,0.08312551062871948)
(41,0.08256835226333349)
(42,0.08203745440460233)
(43,0.0812584907479517)
(44,0.0808382133531368)
(45,0.08025481241372516)
(46,0.07970600144127171)
(47,0.07851089292406403)
(48,0.07568004926645522)
(49,0.07374721077414176)
(50,0.07277157135937541)
(51,0.07177874101998323)
(52,0.07128814237636873)
(53,0.07097220276146428)
(54,0.07037544930949463)
(55,0.0699803964767173)
(56,0.06974383639646385)
(57,0.0693123028255028)
(58,0.0690051920668102)
(59,0.06883093331223034)
(60,0.06844480706848724)
(61,0.06773119112863234)
(62,0.06674969588902374)
(63,0.06624385708141518)
(64,0.06594606769428131)
(65,0.06572077700680108)
(66,0.06557090351029048)
(67,0.06523385051372026)
(68,0.06471396949966733)
(69,0.06433227552430408)
(70,0.06413284293540078)
(71,0.06375523992267408)
(72,0.06352983939842882)
(73,0.06323386008083168)
(74,0.06290472109942409)
(75,0.06270570566823802)
(76,0.06258384886215584)
(77,0.06230416993339342)
(78,0.06185076494722379)
(79,0.06112900075902619)
(80,0.0600876719723291)
(81,0.05950561579539481)
(82,0.05924783728964396)
(83,0.05903129870020741)
(84,0.05875985122333078)
(85,0.05859168075724718)
(86,0.05849308031448824)
(87,0.058320566477470456)
(88,0.05803359352904969)
(89,0.05767075275766666)
(90,0.05696932126079092)
(91,0.056423462461589476)
(92,0.05619235111307383)
(93,0.056054433743376514)
(94,0.0558335502295674)
(95,0.055593376527660686)
(96,0.05538174628226519)
(97,0.05524253214697183)
(98,0.055163723613239395)
(99,0.054980485467589386)
(100,0.05471831489931241)
