(1,0.5698768700125167)
(2,0.5189604475314659)
(3,0.5087600640226547)
(4,0.5037521412294056)
(5,0.49956718174676257)
(6,0.49475052509847134)
(7,0.4875497516800281)
(8,0.47499189645167256)
(9,0.45659916672197626)
(10,0.437825711598844)
(11,0.4185135802275714)
(12,0.3999548585530876)
(13,0.35310377037976987)
(14,0.3327942316875102)
(15,0.3130081563864229)
(16,0.29206934131458023)
(17,0.28248872719376206)
(18,0.2514799676039068)
(19,0.23894072742204897)
(20,0.2265588891783942)
(21,0.2179195869385962)
(22,0.20955016149092118)
(23,0.2016806704709822)
(24,0.19539821652461112)
(25,0.19155097985075195)
(26,0.1866008801067365)
(27,0.18341682130396142)
(28,0.18141244814516364)
(29,0.17799141675463603)
(30,0.17696548000215162)
(31,0.17251772602354434)
(32,0.17063381603619676)
(33,0.16838864747182847)
(34,0.16623730289306085)
(35,0.16450089214842567)
(36,0.16231335016295662)
(37,0.16114477883702386)
(38,0.1598227906416217)
(39,0.15880416571098757)
(40,0.1564061804004533)
(41,0.1545028805350404)
(42,0.15360974397799992)
(43,0.1528512685314223)
(44,0.15221439762038064)
(45,0.15177203732981046)
(46,0.1511869816706804)
(47,0.15099590335199306)
(48,0.15023070148315432)
(49,0.14984367400989743)
(50,0.14913438862041498)
(51,0.14845328029403032)
(52,0.14782430480365216)
(53,0.14746572327791885)
(54,0.1471086510243033)
(55,0.14670766737061472)
(56,0.14647526178381018)
(57,0.1461013298629011)
(58,0.1455452685157363)
(59,0.14475032630715318)
(60,0.14379917196672884)
(61,0.14285844420446284)
(62,0.14230859420148345)
(63,0.14165919808737654)
(64,0.14102722934736708)
(65,0.1397502174657851)
(66,0.13910501207851425)
(67,0.1386202535458686)
(68,0.13821101661496504)
(69,0.13784696819147682)
(70,0.13754587399752283)
(71,0.13736973119637214)
(72,0.13689093004340686)
(73,0.13664637613523561)
(74,0.13615088510635684)
(75,0.13574143100774008)
(76,0.1355157029497923)
(77,0.1353094608479118)
(78,0.134771779114402)
(79,0.13446220889052857)
(80,0.1341877890728902)
(81,0.1340830523291799)
(82,0.1339090339122039)
(83,0.13303674023636924)
(84,0.13230587521281376)
(85,0.13203274165190312)
(86,0.13194464991408567)
(87,0.13153559908799378)
(88,0.13132869398025646)
(89,0.1311314240917599)
(90,0.13097463673943877)
(91,0.13057097508280546)
(92,0.13032784719697144)
(93,0.13000547935343504)
(94,0.12981204933633989)
(95,0.12964976945122667)
(96,0.12955755101476865)
(97,0.1294742336708934)
(98,0.12934412018549296)
(99,0.12925226558784664)
(100,0.12902810445451393)
