(1,0.7060951395290929)
(2,0.6023564763255137)
(3,0.5661615115450147)
(4,0.5428456873931853)
(5,0.5202378118950624)
(6,0.4910450979031971)
(7,0.45047820695312013)
(8,0.4064336303555946)
(9,0.3649722092212648)
(10,0.3545219831707669)
(11,0.28896806922176554)
(12,0.2654361381945636)
(13,0.23515797061249283)
(14,0.21263794515777262)
(15,0.19771699973874607)
(16,0.17784744204058275)
(17,0.16788356806080212)
(18,0.16020625462310975)
(19,0.15641736020081842)
(20,0.1489647764235147)
(21,0.13931697939544962)
(22,0.1351440577984585)
(23,0.13119729775114955)
(24,0.128976948898414)
(25,0.12702279154485696)
(26,0.12437532564716251)
(27,0.12203762772567411)
(28,0.12055813911118597)
(29,0.11845162316623643)
(30,0.11613658517327662)
(31,0.11227742244124646)
(32,0.11018988694809438)
(33,0.10873818529002831)
(34,0.10764000483685099)
(35,0.10562867900572359)
(36,0.10273086218371384)
(37,0.1012200674353012)
(38,0.09958945004375368)
(39,0.09729637099259737)
(40,0.0941969779371519)
(41,0.0919199267293966)
(42,0.09045892795488507)
(43,0.08947758787084743)
(44,0.0876512317541487)
(45,0.08618308734690223)
(46,0.08338725789501279)
(47,0.08227646548498452)
(48,0.08152510685021985)
(49,0.08100422514568112)
(50,0.08051803538978208)
(51,0.07957989850548836)
(52,0.07917000796998297)
(53,0.07880825348992952)
(54,0.07803305720277878)
(55,0.07773483684854776)
(56,0.07710397508417424)
(57,0.07587601409856615)
(58,0.07407865130449276)
(59,0.0725976120010065)
(60,0.0714104855565679)
(61,0.07107565935846111)
(62,0.07068928844515827)
(63,0.0699035570171323)
(64,0.06845165315174608)
(65,0.06774024841892846)
(66,0.06713971315447786)
(67,0.06654332321630801)
(68,0.06617014259171912)
(69,0.0659826866488129)
(70,0.0656350979407676)
(71,0.06503108057047118)
(72,0.06388924330484341)
(73,0.06347180185895183)
(74,0.06318848670021758)
(75,0.06293069450760576)
(76,0.06277270740210734)
(77,0.0624710611590446)
(78,0.06195456345313059)
(79,0.06101008343365672)
(80,0.060640485965157594)
(81,0.06047172337976928)
(82,0.06034044443770398)
(83,0.0601270921391807)
(84,0.059028275278373815)
(85,0.058842389772293203)
(86,0.05842208525027908)
(87,0.05819194757178297)
(88,0.05802929971705631)
(89,0.05793581122547519)
