(1,0.7041248018425802)
(2,0.6148238000622415)
(3,0.5800095330973607)
(4,0.555454919515132)
(5,0.5307947389975897)
(6,0.4982593204535172)
(7,0.44948789581809023)
(8,0.38881674896368335)
(9,0.32665662130422435)
(10,0.27279892313914755)
(11,0.23893341735787146)
(12,0.2233697899701057)
(13,0.2134632126503305)
(14,0.21637250694240076)
(15,0.20912110887543828)
(16,0.19523773558830768)
(17,0.1998126923242346)
(18,0.19374841404288665)
(19,0.17449273375619043)
(20,0.1652488145247874)
(21,0.15779202836502626)
(22,0.15331698679907663)
(23,0.14887011060828334)
(24,0.14277906923851694)
(25,0.13464175945225698)
(26,0.13199511417740262)
(27,0.12741121448810086)
(28,0.1236217284549329)
(29,0.12079678208853481)
(30,0.12389670480442719)
(31,0.12387378730222467)
(32,0.12025552574718021)
(33,0.11783261706837352)
(34,0.1161004216652949)
(35,0.11519199154233756)
(36,0.11495808052009583)
(37,0.11299672204542828)
(38,0.10990072095621078)
(39,0.10883891331266307)
(40,0.10668853221364334)
(41,0.10469415225432466)
(42,0.10229786485009859)
(43,0.09932769886478006)
(44,0.09943612400781289)
(45,0.09686974206456136)
(46,0.0950813361784337)
(47,0.09368867515276026)
(48,0.09294547411164421)
(49,0.09183570468624049)
(50,0.09099729479131353)
(51,0.08991920472587107)
(52,0.08839094487594823)
(53,0.08684339459655888)
(54,0.08619165186031051)
(55,0.08533957941015945)
(56,0.08330065141563395)
(57,0.08263044170790583)
(58,0.07988665220690501)
(59,0.07918291547709659)
(60,0.07799220537924795)
(61,0.07730662471208583)
(62,0.07673425188161904)
(63,0.07603760002986747)
(64,0.07496133953703325)
(65,0.07406556075852291)
(66,0.07428184252312092)
(67,0.0728509821830035)
(68,0.0718832151871751)
(69,0.07909489800765535)
(70,0.07806334493458282)
(71,0.07400629729861204)
(72,0.07204183197491296)
(73,0.06875043587873152)
(74,0.0694533554110437)
(75,0.06708380816902612)
(76,0.06602145223017586)
(77,0.06633432664204623)
(78,0.07941051396953856)
(79,0.11893276488352607)
(80,0.0869775279857926)
(81,0.08519262724563037)
(82,0.08230101782817772)
(83,0.07957057418240315)
(84,0.07879334748023925)
(85,0.07664481871148532)
(86,0.07612029422367125)
(87,0.07400357930837782)
(88,0.07281533128155111)
(89,0.07036910662050114)
(90,0.06619714466282783)
(91,0.06282530639652786)
(92,0.0629851830759059)
(93,0.06027895128340147)
(94,0.059637863909218734)
(95,0.05724036669776123)
(96,0.05707822546762969)
(97,0.05540381433114196)
(98,0.05463469893251611)
(99,0.05338947240993434)
(100,0.05316202631713821)
(101,0.052099684847397)
(102,0.05098449189559885)
(103,0.05693188180675102)
(104,0.05361810437063717)
(105,0.050758232375578353)
(106,0.04908344508508914)
(107,0.04831793015963557)
(108,0.04925577688597674)
(109,0.04813904158508298)
(110,0.046849717133743626)
(111,0.047125854217770116)
(112,0.04622470657881171)
(113,0.04600680839836788)
(114,0.04594425030102951)
(115,0.04573301564796973)
(116,0.045472748533999435)
(117,0.04531944858461343)
(118,0.04496958930212568)
(119,0.044713138119220654)
(120,0.04454681762103277)
(121,0.04438792433847987)
(122,0.04421144035357356)
(123,0.044127384581261)
(124,0.04392763971953402)
(125,0.043791234542702215)
(126,0.043738624023204636)
(127,0.04371193220634189)
(128,0.04350059109583104)
(129,0.04337892599414307)
(130,0.043251163459667445)
(131,0.04318987296297075)
(132,0.043118936215608576)
(133,0.04310522141181295)
(134,0.043082873739332984)
(135,0.04304051601170116)
(136,0.04304798383971936)
(137,0.04303650054820605)
(138,0.04300299577406636)
(139,0.04297905293115589)
(140,0.04295809384239853)
(141,0.04293321084360757)
(142,0.0429236465989602)
(143,0.042917872395173605)
(144,0.0429070340955766)
(145,0.042882633089654426)
(146,0.0428820263335958)
